"algorithm","sample","time","diploid_mutation_count","mutation_count","N_clusters"
"PhyloWGS","P12-noXY",14269.9655220509,2135,2135,NA
"PhyloWGS","P13-noXY",90129.8963210583,6774,6774,NA
"PhyloWGS","P13-noXY",12719.3988440037,6774,6774,NA
"PhyloWGS","P15-noXY",24543.955078125,1868,1868,NA
"PhyloWGS","P18-noXY",80497.3027420044,4393,4393,NA
"PhyloWGS","P19-noXY",25559.5379209518,2143,2143,NA
"PhyloWGS","P20-noXY",19364.5678048134,1739,1739,NA
"PhyloWGS","P24-noXY",80863.02571702,4149,4149,NA
"PhyloWGS","P3-noXY",20372.2522928715,1647,1647,NA
"PhyloWGS","P4-noXY",6436.96382308006,1816,1816,NA
"PhyloWGS","P5-noXY",53108.5219278336,4165,4165,NA
"PhyloWGS","T0-noXY",4811.99411702156,2532,2532,NA
"PhyloWGS","T11-noXY",43297.8189351559,3676,3676,NA
"PhyloWGS","T15-noXY",47402.5788180828,3452,3452,NA
"PhyloWGS","T16-noXY",47264.1926150322,3648,3648,NA
"PhyloWGS","T2-noXY",72488.1457440853,4587,4587,NA
"PhyloWGS","T4-noXY",25615.3983130455,2367,2367,NA
